binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9.1,0.75.1,0.5.1,0.25.1,0.1.1,0.9,0.75,0.5,0.25,0.1
100,True,0.8794757033248081,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
400,False,0.7154731457800513,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
400,True,0.826086956521739,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
20,False,0.9458522272606028,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
20,True,1.2355294745265404,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
100,False,0.7999466524406508,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
100,True,1.1197652707388637,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
400,False,0.8228861029607895,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
400,True,1.0,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
20,False,0.7423464001689072,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
20,True,0.95770286438173,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
100,False,0.7474839890210432,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
100,True,0.922478710676332,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
400,True,0.9090717151101416,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
20,False,1.0152823412546808,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
20,True,1.4096431573317034,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
100,False,0.9834950714449452,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
100,True,1.2731718499274092,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
400,False,0.942232750057309,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
400,True,1.1738366317719875,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
20,False,0.9894169194472532,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
20,True,1.1106841927873274,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
100,False,0.9054263565891472,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
100,True,1.0199528142905294,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
400,False,1.0932254802831145,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
400,True,1.0212335692618806,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
20,False,0.6988786793334371,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
20,True,0.8595234387167109,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
100,False,0.7218501790998286,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
100,True,0.8471421896900796,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
400,False,0.8893474536676531,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
400,True,0.7822769039090487,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
20,False,0.798215699409293,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
20,True,0.7825345594056391,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
100,False,0.8315571524267705,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
100,True,0.8187077522684367,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
400,False,0.9771024907131112,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
400,True,0.8457463004689117,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_101.0,bakery,,,,,,,,,,,,,,
20,False,1.196635120925342,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
20,True,1.4833508587451807,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
100,False,1.0928846827900456,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
100,True,1.356466876971609,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
400,True,1.2288818787241502,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
20,False,0.758893280632411,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
20,True,0.8574034660991183,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
100,False,0.7731833384007297,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
100,True,0.713590757069018,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
400,False,0.7497719671632714,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
400,True,0.6579507449072666,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
20,False,1.0552852720035382,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
20,True,1.3171163202122955,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
100,False,0.8836797877045555,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
100,True,1.2114108801415304,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
400,False,0.8726227333038479,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
400,True,1.0455550641309157,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
20,False,0.829666430092264,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
20,True,0.8651525904897089,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
100,False,0.7672107877927608,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
100,True,0.8399574166075232,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
400,False,0.6944641589779985,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
400,True,0.8066004258339248,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
20,False,0.5865648854961832,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
20,True,0.6912977099236641,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
100,False,0.5804580152671756,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
100,True,0.5893129770992367,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
400,False,0.8204580152671755,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
400,True,0.6280916030534351,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_109.0,bakery,,,,,,,,,,,,,,
20,False,0.940838404327248,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
20,True,1.240365111561866,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
100,False,0.8498985801217038,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
