binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9,0.75,0.5,0.25,0.1
20,False,1.1995561895704552,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
20,True,1.195831352036773,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
100,False,1.0579331114281187,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
100,True,1.123791409098114,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
400,False,1.0461245839277225,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
400,True,1.0860675225867809,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
20,False,0.942493162516194,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
20,True,1.1188282711961997,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
100,False,0.915575068374838,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
100,True,1.044047790413128,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
400,False,0.9245717575932058,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
400,True,1.0020152583849142,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
20,False,1.131561298765028,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
20,True,1.2283961724053325,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
100,False,1.1437965159074177,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
100,True,1.1934243886480738,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
400,False,1.2799051279954197,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
400,True,1.1774678989122431,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
20,False,1.0824991077043356,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
20,True,1.3457943131022994,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
100,False,1.0655709842446075,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
100,True,1.2419310977786089,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
400,False,1.1171371755867907,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
400,True,1.200358617876506,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
20,False,1.071815657934892,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
20,True,1.1585941458298146,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
100,False,1.0352293164801496,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
100,True,1.1100790215198082,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
400,False,1.006109575322293,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
400,True,1.0918865906377124,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
20,False,1.1158221867441729,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
20,True,1.1799760523164784,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
100,False,1.1449141874673787,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
100,True,1.1734057904270674,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
400,False,1.196029869788734,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
400,True,1.1431061714749662,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
20,False,1.019303429134211,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
20,True,1.1068314083624318,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
100,False,0.9729823618945294,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
100,True,1.0341301817530666,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
400,False,1.049673202614379,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
400,True,1.0306777688244246,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM2.5,air,,,,,,,,,
20,False,0.7726947088322587,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
20,True,0.9421758264251356,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
100,False,0.7488486337120048,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
100,True,0.8757547845665745,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
400,False,0.7309384914543035,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
400,True,0.8278579469859788,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
20,False,0.712536775173199,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
20,True,0.6608142735123849,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
100,False,0.6417386352851856,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
100,True,0.6194362721837334,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
400,False,0.6460093005599316,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
400,True,0.5749264496536015,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
20,False,0.6451612903225805,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
20,True,0.79454326198372,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
100,False,0.6032559541754596,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
100,True,0.7701989749773892,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
400,False,0.692191739523666,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
400,True,0.7405788362978594,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
20,False,0.7732167608487046,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
20,True,0.9232327540249492,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
100,False,0.7402708177844118,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
100,True,0.8207698048832498,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
400,False,0.6626506024096385,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
400,True,0.8042435227636207,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
20,False,0.7552453691510841,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
20,True,0.9474146255815996,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
100,False,0.7347906241769818,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
100,True,0.8696339215169873,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
400,False,0.7679747168817488,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
400,True,0.8490913879378458,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_SO2,air,,,,,,,,,
20,False,0.8719948018193633,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
20,True,1.128654970760234,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
100,False,0.8434048083170891,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
100,True,1.01364522417154,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
400,False,0.8317089018843405,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
400,True,1.003898635477583,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
20,False,0.7855209742895807,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
20,True,0.8998646820027066,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
100,False,0.7841677943166443,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
100,True,0.854533152909337,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
400,False,0.7814614343707715,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
400,True,0.8525033829499324,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
20,False,0.9350993377483444,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
20,True,1.1112582781456957,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
100,False,0.866225165562914,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
100,True,1.0033112582781456,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
400,False,0.8867549668874172,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
400,True,0.9549668874172186,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
20,False,0.9974173553719008,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
20,True,1.1198347107438018,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
100,False,0.8987603305785126,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
100,True,1.0103305785123968,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
400,False,0.8362603305785125,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
400,True,0.9473140495867768,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
20,False,0.909274193548387,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
